"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AL627309.1","OK",0.517919416561886,-0.0449324308302325,-0.000468071501617181,"AL627309.1",0.764040682511283
"AL627309.3","FAIL",NA,NA,NA,"AL627309.3",1
"AL627309.4","FAIL",NA,NA,NA,"AL627309.4",1
"AL669831.5","OK",0.115573610762493,1.19740888680136,0.00685633360187948,"AL669831.5",0.318170392745944
"FAM87B","FAIL",NA,NA,NA,"FAM87B",1
"LINC00115","OK",0.749314077619662,-0.672332813086799,-0.00423654221646935,"LINC00115",0.816510498716291
"FAM41C","OK",0.499150272006891,0.00212995382376555,-0.000236572155317128,"FAM41C",0.764040682511283
"AL645608.3","FAIL",NA,NA,NA,"AL645608.3",1
"AL645608.5","FAIL",NA,NA,NA,"AL645608.5",1
"SAMD11","OK",0.675301554497209,-0.454600199797144,-0.00285014322893862,"SAMD11",0.781858687354858
"NOC2L","OK",0.094027313225159,1.31635587108912,0.00765489840809544,"NOC2L",0.273784405666343
"KLHL17","OK",0.613257264030437,-0.287818765740912,-0.00196608833486461,"KLHL17",0.765541720474516
"PLEKHN1","OK",0.0282969123648307,1.90643474278131,0.0111413321119506,"PLEKHN1",0.108333848941241
"PERM1","OK",0.606867450817648,-0.271163741860367,-0.00174258692130434,"PERM1",0.764992125905872
"AL645608.8","OK",0.528490906130734,-0.0714769262832421,-0.0005303093475648,"AL645608.8",0.764040682511283
"HES4","OK",0.0626865038036232,1.53260581605717,0.00885243751683144,"HES4",0.20216147068042
"ISG15","OK",0,42.6213193951479,0.255728197065684,"ISG15",0
"AGRN","OK",0.890012272527877,-1.22659338970515,-0.00758225701879303,"AGRN",0.911770238849618
"AL645608.9","FAIL",NA,NA,NA,"AL645608.9",1
"RNF223","OK",0.537138483151171,-0.093227240673723,-0.000602866515257907,"RNF223",0.764040682511283
"C1orf159","OK",0.35468573593255,0.372700355467003,0.00197360447587037,"C1orf159",0.677978479709579
"LINC01342","FAIL",NA,NA,NA,"LINC01342",1
"AL390719.2","OK",0.577572361060637,-0.195686849643452,-0.00124455811529932,"AL390719.2",0.764040682511283
"TTLL10","OK",0.110025236033683,1.22639392224985,0.00672240435772096,"TTLL10",0.307229777045374
"TNFRSF18","OK",0,78.5927267650092,0.471798388574934,"TNFRSF18",0
"TNFRSF4","OK",0,90.9866219213176,0.546163414814118,"TNFRSF4",0
"SDF4","OK",7.86441113384121e-17,8.25083756401633,0.0493094416694943,"SDF4",1.43669145405092e-15
"B3GALT6","OK",0.414544802465532,0.215869329523594,0.0010462330043812,"B3GALT6",0.747933409960433
"C1QTNF12","OK",0.659593138582026,-0.411352985091571,-0.00256189680740385,"C1QTNF12",0.774770184727551
"AL162741.1","OK",0.532645676374082,-0.0819221163421744,-0.000636278219796707,"AL162741.1",0.764040682511283
"UBE2J2","OK",0.201152713536222,0.83751094552817,0.00478019669855844,"UBE2J2",0.466866841873846
"LINC01786","OK",0.524043421384432,-0.0603044507281952,-0.000494644435278456,"LINC01786",0.764040682511283
"SCNN1D","OK",0.443565532102649,0.141935359498816,0.000566012863410985,"SCNN1D",0.764040682511283
"ACAP3","OK",0.678101565628353,-0.462396695308215,-0.00301868586703157,"ACAP3",0.783088291742961
"PUSL1","OK",0.0072882622859477,2.44273281051568,0.0143905231215702,"PUSL1",0.0342336546410394
"INTS11","OK",0.0456850400856919,1.68821439890831,0.00988810744182436,"INTS11",0.158383383122038
"CPTP","OK",0.414604591624008,0.215715929949605,0.00104457305091311,"CPTP",0.747933409960433
"TAS1R3","OK",0.541421495805879,-0.104015550005823,-0.000755474342287006,"TAS1R3",0.764040682511283
"DVL1","OK",0.629680512736058,-0.331007295980199,-0.00222865882346023,"DVL1",0.76770978198518
"MXRA8","OK",0.125282863724074,1.14897636293511,0.00626135731232835,"MXRA8",0.336958263559051
"AURKAIP1","OK",2.68532652925945e-06,4.54976237290867,0.0270822788754876,"AURKAIP1",2.41151966597862e-05
"CCNL2","OK",0.0533260802982371,1.61342520614412,0.00943903741282434,"CCNL2",0.178306991853884
"MRPL20","OK",0.00298308094708009,2.74963534106071,0.0162686033844745,"MRPL20",0.015682734689922
"AL391244.3","OK",0.530547859667213,-0.0766471101629524,-0.000641059640711567,"AL391244.3",0.764040682511283
"ANKRD65","OK",0.684406839528768,-0.480057762168145,-0.00300799199775463,"ANKRD65",0.785862284062486
"TMEM88B","FAIL",NA,NA,NA,"TMEM88B",1
"LINC01770","FAIL",NA,NA,NA,"LINC01770",1
"VWA1","OK",0.455094583008495,0.112799939869354,0.000417417939145915,"VWA1",0.764040682511283
"ATAD3C","OK",0.872589695498479,-1.13871844012058,-0.00695774862175239,"ATAD3C",0.898703365752488
"ATAD3B","OK",0.556252478051906,-0.141474575408741,-0.00109605428489628,"ATAD3B",0.764040682511283
"ATAD3A","OK",0.246541292127947,0.685414202680644,0.00385420760303759,"ATAD3A",0.534317483467435
"TMEM240","OK",0.52859216035425,-0.0717313844713815,-0.00054609795225766,"TMEM240",0.764040682511283
"SSU72","OK",0.19820294617636,0.848057601582408,0.00484545430012733,"SSU72",0.462435012051361
"AL645728.1","OK",0.214866697577063,0.789647952778957,0.00446230703210761,"AL645728.1",0.487732164727055
"FNDC10","OK",0.894293981308279,-1.2496921188883,-0.00762473569863655,"FNDC10",0.914757851254483
"MIB2","OK",0.67784863358146,-0.461691269408397,-0.0030203885540584,"MIB2",0.782994924440891
"MMP23B","OK",0.12674171234356,1.14192926094222,0.00650799824067682,"MMP23B",0.339853824167893
"CDK11B","OK",0.0130477542582387,2.22478747646484,0.013110166053317,"CDK11B",0.0566903414988362
"SLC35E2B","OK",0.64406144373976,-0.369336245263026,-0.00246604893097721,"SLC35E2B",0.770599695648117
"CDK11A","OK",0.686063834569032,-0.484723730518619,-0.00315950725538775,"CDK11A",0.786031619232165
"SLC35E2","OK",0.425996287399773,0.186576651331468,0.000861459063216202,"SLC35E2",0.760002072158146
"NADK","OK",0.741648730631189,-0.648436701655407,-0.00413695899398168,"NADK",0.812695469480342
"GNB1","OK",0.118936072727149,1.18032206523718,0.00684118022160484,"GNB1",0.324813915415022
"CALML6","FAIL",NA,NA,NA,"CALML6",1
"TMEM52","OK",0.529759371262823,-0.0746649979771502,-0.000614125616303094,"TMEM52",0.764040682511283
"CFAP74","OK",NA,NA,-0.000195306182012438,"CFAP74",NA
"GABRD","FAIL",NA,NA,NA,"GABRD",1
"PRKCZ","OK",0.00639263998231823,2.48969489212911,0.0146675417026055,"PRKCZ",0.0305716407368588
"FAAP20","OK",0.494985529400941,0.0125697447781663,-0.000173509411165494,"FAAP20",0.764040682511283
"SKI","OK",0.195166801908266,0.859012528720208,0.00490750696009329,"SKI",0.45722518052165
"MORN1","OK",0.793336307720901,-0.818052194350508,-0.00502589677970213,"MORN1",0.845316040908708
"RER1","OK",0.0775855989491638,1.42150088009709,0.00829015389462706,"RER1",0.236495683806375
"PEX10","OK",0.348794355144157,0.388577504564534,0.00207496908757284,"PEX10",0.67017929038678
"PLCH2","OK",8.3144484041894e-05,3.76539052977888,0.0222858647816287,"PLCH2",0.000606178213267622
"PANK4","OK",0.799269620096625,-0.839015236072283,-0.00527935610053847,"PANK4",0.849174220945672
"HES5","FAIL",NA,NA,NA,"HES5",1
"AL139246.5","OK",0.41605635158255,0.211992733697517,0.00102098044258309,"AL139246.5",0.749201057091882
"TNFRSF14","OK",0.000921362970897362,3.11447496415214,0.0184595778597058,"TNFRSF14",0.00547311493068689
"AL139246.3","OK",0.0980370118020653,1.29281797039898,0.00745197526274637,"AL139246.3",0.281869619092427
"FAM213B","OK",0.912955569050816,-1.35918219495885,-0.00838788287705796,"FAM213B",0.929036498252588
"MMEL1","OK",0.698812495568538,-0.520988175130408,-0.00331616501561289,"MMEL1",0.790522597002377
"TTC34","OK",0.614653486710936,-0.29146850695407,-0.00187227218697987,"TTC34",0.76572493095363
"PRDM16","FAIL",NA,NA,NA,"PRDM16",1
"AL590438.1","FAIL",NA,NA,NA,"AL590438.1",1
"ARHGEF16","OK",0.679485977288122,-0.466261901871741,-0.00291528537674638,"ARHGEF16",0.783416001047682
"AL512413.1","FAIL",NA,NA,NA,"AL512413.1",1
"MEGF6","OK",0.482872737836133,0.0429448762260956,3.11234894410406e-06,"MEGF6",0.764040682511283
"TPRG1L","OK",0.17953023507054,0.917156819866413,0.00524964605340071,"TPRG1L",0.43285906376883
"WRAP73","OK",0.587018119789942,-0.219881094489433,-0.00156869043935301,"WRAP73",0.764040682511283
"TP73","OK",2.94843136391008e-07,4.99456467801997,0.0292949047655732,"TP73",2.95267503858904e-06
"SMIM1","OK",0.618939480079774,-0.302696664656198,-0.00205135229633499,"SMIM1",0.765808232388876
"LRRC47","OK",0.380892855062261,0.303136669127083,0.0015697344611507,"LRRC47",0.708358902912418
"CEP104","OK",0.57107019928511,-0.179099465832159,-0.00132323931931424,"CEP104",0.764040682511283
"DFFB","OK",0.584121876776303,-0.212449660451693,-0.00152014058252662,"DFFB",0.764040682511283
"C1orf174","OK",0.167939857491923,0.962338262110354,0.00552624547213179,"C1orf174",0.41384994447848
"LINC01134","OK",0.529432382482607,-0.0738430959069243,-0.000548823774161548,"LINC01134",0.764040682511283
"AL805961.2","FAIL",NA,NA,NA,"AL805961.2",1
"LINC01777","FAIL",NA,NA,NA,"LINC01777",1
"AJAP1","OK",0.538970556085225,-0.0978405748871306,-0.000728120325562174,"AJAP1",0.764040682511283
"Z98259.3","FAIL",NA,NA,NA,"Z98259.3",1
"AL365255.1","FAIL",NA,NA,NA,"AL365255.1",1
"NPHP4","OK",0.34340492645551,0.403188100508206,0.00213883861322114,"NPHP4",0.664270402280614
"KCNAB2","OK",0.463936986866829,0.0905200349336318,0.000294600752910224,"KCNAB2",0.764040682511283
"CHD5","OK",0.528592327912929,-0.0717318055606518,-0.00050221812230864,"CHD5",0.764040682511283
"RPL22","OK",3.26086568388746e-47,14.383996363468,0.0860848803701644,"RPL22",1.22209914611829e-45
"RNF207","OK",1.77027804730812e-07,5.09213406047156,0.0302318755028074,"RNF207",1.82067863695834e-06
"ICMT","OK",0.200847254324294,0.838598756607232,0.00477884334898889,"ICMT",0.466428473509167
"LINC00337","OK",0.526854768873289,-0.0673658410892205,-0.000527804436290726,"LINC00337",0.764040682511283
"GPR153","OK",0.634174110399663,-0.342929126450867,-0.00216727178332333,"GPR153",0.769108038981504
"ACOT7","OK",0.0402560797166818,1.74772210370199,0.0102285217817267,"ACOT7",0.143354787966355
"HES2","OK",0.550566387853187,-0.127092453460778,-0.000908842980296932,"HES2",0.764040682511283
"ESPN","OK",0.154690197983552,1.01652300977222,0.00577084761800464,"ESPN",0.391683488197007
"TNFRSF25","OK",4.2336241227526e-141,25.2614987198006,0.15147324247481,"TNFRSF25",3.72256521079176e-139
"PLEKHG5","OK",0.732001875680535,-0.618878734553025,-0.00382365194870862,"PLEKHG5",0.807091948034799
"NOL9","OK",0.0270633236886146,1.92582164843821,0.0113007500009431,"NOL9",0.104435584516253
"TAS1R1","FAIL",NA,NA,NA,"TAS1R1",1
"ZBTB48","OK",0.350025152341563,0.385252561223626,0.00205977074270402,"ZBTB48",0.671959274582778
"KLHL21","OK",0.00899120325343298,2.36598019169421,0.0139204004510595,"KLHL21",0.0411691632803113
"PHF13","OK",0.470666406957825,0.0735947937205133,0.000190097198329256,"PHF13",0.764040682511283
"THAP3","OK",0.853185329233929,-1.0501930994283,-0.00654927558848723,"THAP3",0.885557453867594
"DNAJC11","OK",0.987653356380502,-2.24616740411416,-0.0136998051428629,"DNAJC11",0.988147337427769
"CAMTA1","OK",0.141376604719439,1.07415501749783,0.00620142000039801,"CAMTA1",0.36775842089161
"AL359881.3","FAIL",NA,NA,NA,"AL359881.3",1
"AL359881.2","FAIL",NA,NA,NA,"AL359881.2",1
"AL359881.1","FAIL",NA,NA,NA,"AL359881.1",1
"VAMP3","OK",0.333970393112814,0.428975868507482,0.00232503700452702,"VAMP3",0.652984959587928
"PER3","OK",0.425928823007157,0.186748731412605,0.000864211889399465,"PER3",0.759966434896146
"UTS2","OK",6.02000356014855e-07,4.85497806310478,0.0289036835650354,"UTS2",5.86712040030799e-06
"TNFRSF9","OK",0,61.3836968753907,0.368264937150587,"TNFRSF9",0
"PARK7","OK",8.65153314627296e-50,14.7887922952953,0.0885833510961646,"PARK7",3.36862493770818e-48
"AL034417.3","OK",0.669044091739058,-0.437275147739124,-0.00272999051644908,"AL034417.3",0.779066623015363
"ERRFI1","OK",0.55496771940994,-0.138222515393081,-0.00106365519514714,"ERRFI1",0.764040682511283
"AL034417.2","OK",0.531602962655292,-0.0792999140205955,-0.00058370820725976,"AL034417.2",0.764040682511283
"SLC45A1","OK",0.649570566663098,-0.384161344661906,-0.00241436196742138,"SLC45A1",0.77172069623679
"RERE","OK",0.0960275370512612,1.30452372973738,0.00757988775192002,"RERE",0.277839210889773
"AL357552.2","FAIL",NA,NA,NA,"AL357552.2",1
"ENO1","OK",1.81794599965066e-64,16.9125561506137,0.101340878793215,"ENO1",8.4082629573438e-63
"CA6","OK",0.605203204939831,-0.266838395854936,-0.0017301459680661,"CA6",0.764624772571818
"SLC2A5","OK",0.635518764036993,-0.346506005206712,-0.00221647786464827,"SLC2A5",0.769171811428326
"GPR157","OK",0.554947494713128,-0.138171333173378,-0.00106237442696319,"GPR157",0.764040682511283
"MIR34AHG","OK",0.587374246701352,-0.220795706763984,-0.00155439044932161,"MIR34AHG",0.764040682511283
"LINC01759","OK",0.644643394638931,-0.370898394885348,-0.00233155680830964,"LINC01759",0.770863210454212
"H6PD","OK",0.8800768282463,-1.17537094224947,-0.0073003184426643,"H6PD",0.903971083595991
"SPSB1","OK",0.549510814581354,-0.124425516812433,-0.000995344295977059,"SPSB1",0.764040682511283
"BX323043.1","FAIL",NA,NA,NA,"BX323043.1",1
"AL928921.2","OK",0.51187233804737,-0.0297639322548476,-0.000363919227069106,"AL928921.2",0.764040682511283
"SLC25A33","OK",0.279531338473709,0.584234315991245,0.00325048847625228,"SLC25A33",0.58148186787921
"TMEM201","OK",0.730898941444309,-0.615534008508785,-0.00389779665005332,"TMEM201",0.806561167840082
"PIK3CD","OK",1.64919524983011e-06,4.65130626563429,0.0276847004556814,"PIK3CD",1.51853116127913e-05
"CLSTN1","OK",0.97761029628167,-2.00672073021124,-0.0122997225213494,"CLSTN1",0.979569067146425
"CTNNBIP1","OK",0.0464720062725688,1.68006837806376,0.00983112706626154,"CTNNBIP1",0.160451244094912
"LZIC","OK",0.531708953214465,-0.0795664324451202,-0.000726757289823499,"LZIC",0.764040682511283
"NMNAT1","OK",0.829744671804573,-0.953156749524763,-0.00594841809049833,"NMNAT1",0.86997339860372
"RBP7","OK",0.604200692410508,-0.264235295751881,-0.00167945032914895,"RBP7",0.764624772571818
"UBE4B","OK",0.110520984000951,1.22376214633313,0.00709011785678612,"UBE4B",0.308345067462904
"KIF1B","OK",0.513293661967437,-0.0333284380533546,-0.000448800258998312,"KIF1B",0.764040682511283
"AL139424.3","OK",0.544703711158564,-0.112291126058418,-0.000780267266223585,"AL139424.3",0.764040682511283
"AL139424.2","OK",0.541395238591257,-0.103949376146963,-0.000773061445387978,"AL139424.2",0.764040682511283
"PGD","OK",0.385385761982794,0.291365857617174,0.00149771555992996,"PGD",0.71331579331606
"CENPS-CORT","OK",0.525336803972143,-0.0635527043118264,-0.000554186737026521,"CENPS-CORT",0.764040682511283
"CENPS","OK",0.648376555581887,-0.380941188250199,-0.00250909833183581,"CENPS",0.77114356770985
"CORT","OK",NA,NA,-0.000267770971602425,"CORT",NA
"DFFA","OK",0.326032628455779,0.450894958968723,0.00245662807679904,"DFFA",0.64324394666932
"PEX14","OK",0.946836802131927,-1.61492750184795,-0.00993008419859174,"PEX14",0.955554603299314
"CASZ1","OK",0.381263917800195,0.302162964326589,0.00156044346872193,"CASZ1",0.708554927018526
"C1orf127","OK",NA,NA,-0.000219023218390821,"C1orf127",NA
"TARDBP","OK",0.82225611727772,-0.923997215696727,-0.00579776467447971,"TARDBP",0.864955278038215
"AL109811.4","OK",0.14543387682939,1.0562199163167,0.00602304130356317,"AL109811.4",0.375141574935642
"MASP2","FAIL",NA,NA,NA,"MASP2",1
"SRM","OK",0.031173063334414,1.86382611829154,0.0109447448791453,"SRM",0.117213940916501
"EXOSC10","OK",0.759248923624933,-0.703888597874755,-0.00447332766361371,"EXOSC10",0.822249614309667
"MTOR","OK",0.225317746888487,0.754355984647116,0.00427429385553763,"MTOR",0.502755145490303
"ANGPTL7","FAIL",NA,NA,NA,"ANGPTL7",1
"UBIAD1","OK",0.0763611673737417,1.42998147932036,0.00832579283507506,"UBIAD1",0.234103833881282
"DISP3","FAIL",NA,NA,NA,"DISP3",1
"FBXO2","OK",2.9886441553363e-06,4.52719109805601,0.0269205873370188,"FBXO2",2.67340818434023e-05
"FBXO44","OK",0.19203079883496,0.870437066457354,0.00497533473417902,"FBXO44",0.452454192249097
"FBXO6","OK",2.90208926456426e-12,6.88437501976003,0.0410909077877721,"FBXO6",4.27643964095966e-11
"MAD2L2","OK",4.88174153520698e-11,6.47056857473857,0.0386047240017034,"MAD2L2",6.70004372109067e-10
"DRAXIN","OK",3.93583237061851e-18,8.60144788133088,0.0512698821944721,"DRAXIN",7.50716632026317e-17
"AGTRAP","OK",1.09859487350644e-26,10.6284563721587,0.0635899311382209,"AGTRAP",2.71728187955541e-25
"C1orf167","OK",NA,NA,-0.000177939841816104,"C1orf167",NA
"MTHFR","OK",0.271229949613654,0.609097372281688,0.0034026346755913,"MTHFR",0.569618488670249
"CLCN6","OK",0.394367212790086,0.267954391531239,0.0013463467059064,"CLCN6",0.72325434818412
"NPPA","FAIL",NA,NA,NA,"NPPA",1
"NPPB","FAIL",NA,NA,NA,"NPPB",1
"KIAA2013","OK",0.244106858411271,0.693152718053195,0.0039126921049165,"KIAA2013",0.530910852834408
"PLOD1","OK",0.398088868004532,0.258296955134345,0.00128713093639669,"PLOD1",0.727737737568714
"MFN2","OK",0.292689738271453,0.545543928453849,0.00302154927837788,"MFN2",0.599099289921863
"MIIP","OK",0.00389397607256026,2.66112723596174,0.015728164936703,"MIIP",0.019738770696605
"TNFRSF8","OK",1.6160653760048e-70,17.7146532419936,0.105520182587298,"TNFRSF8",7.88472384518437e-69
"TNFRSF1B","OK",0,39.7663180633279,0.238632591351901,"TNFRSF1B",0
"VPS13D","OK",0.658284588795153,-0.407785959639245,-0.00269571574233588,"VPS13D",0.774369911385536
"AC243836.1","FAIL",NA,NA,NA,"AC243836.1",1
"DHRS3","OK",1.12415113594608e-22,9.7298925931693,0.058073823236954,"DHRS3",2.49511659203122e-21
"AC254633.1","OK",0.493507238410459,0.0162756583145528,-0.000179880914219285,"AC254633.1",0.764040682511283
"AADACL4","FAIL",NA,NA,NA,"AADACL4",1
"C1orf158","FAIL",NA,NA,NA,"C1orf158",1
"PRAMEF9","FAIL",NA,NA,NA,"PRAMEF9",1
"LRRC38","FAIL",NA,NA,NA,"LRRC38",1
"PDPN","OK",0.0493531454445068,1.65115812634619,0.00916247522122319,"PDPN",0.167970732996266
"PRDM2","OK",0.0106516275009042,2.30256633709203,0.0135808841535862,"PRDM2",0.0475740984920373
"KAZN","OK",0.888216525133753,-1.21709795226147,-0.00742793495849082,"KAZN",0.910578414587793
"TMEM51","OK",0.24067568535862,0.704130719808317,0.00377669821848989,"TMEM51",0.525950156055442
"C1orf195","FAIL",NA,NA,NA,"C1orf195",1
"FHAD1","OK",0.0540367754444733,1.60691255949159,0.00870075590098197,"FHAD1",0.18004383040556
"AL031283.1","OK",0.58189411609529,-0.206741471033088,-0.0013724252666096,"AL031283.1",0.764040682511283
"EFHD2","OK",2.68983034026416e-60,16.3370463269388,0.0978898621070021,"EFHD2",1.18909820263114e-58
"CTRC","FAIL",NA,NA,NA,"CTRC",1
"CELA2A","FAIL",NA,NA,NA,"CELA2A",1
"CASP9","OK",0.274255889514183,0.599991682015166,0.00334142072280114,"CASP9",0.574089862641658
"DNAJC16","OK",0.579898432423207,-0.201633651846347,-0.00145800086548929,"DNAJC16",0.764040682511283
"AGMAT","OK",0.0797911770257819,1.40647759171924,0.00817720255723441,"AGMAT",0.241745211272925
"DDI2","OK",0.289200459673269,0.555721993093532,0.00308526394449761,"DDI2",0.594638951066596
"AL121992.2","FAIL",NA,NA,NA,"AL121992.2",1
"PLEKHM2","OK",0.249118331526271,0.677266844788365,0.00381498791989425,"PLEKHM2",0.537303460251148
"SLC25A34","OK",0.61773134007527,-0.299527857577737,-0.00193869810436952,"SLC25A34",0.7657951577082
"TMEM82","FAIL",NA,NA,NA,"TMEM82",1
"FBLIM1","OK",0.777350076878361,-0.763274265580233,-0.00468880673569339,"FBLIM1",0.833845957563362
"UQCRHL","OK",0.738174314156237,-0.637727053515317,-0.00392655451716432,"UQCRHL",0.810831460597314
"SPEN","OK",1.17745554907714e-06,4.72030513800679,0.0280966511844368,"SPEN",1.10709877508117e-05
"ZBTB17","OK",0.0316726002766236,1.85676074735688,0.0108865214740403,"ZBTB17",0.118646213068073
"HSPB7","FAIL",NA,NA,NA,"HSPB7",1
"CLCNKA","FAIL",NA,NA,NA,"CLCNKA",1
"CLCNKB","FAIL",NA,NA,NA,"CLCNKB",1
"FAM131C","OK",0.516231216111901,-0.0406968563677237,-0.000380413421757822,"FAM131C",0.764040682511283
"EPHA2","OK",0.0167036672406277,2.12715346143661,0.0116627682320739,"EPHA2",0.0697206016827763
"ARHGEF19","OK",0.188624109540196,0.882977887260439,0.00503420115549766,"ARHGEF19",0.447789886511165
"RSG1","OK",0.00229769889131343,2.83410675352649,0.0165013721691045,"RSG1",0.0124686589887042
"FBXO42","OK",0.237706398204734,0.713699854492644,0.00403220075509773,"FBXO42",0.521876211974577
"SZRD1","OK",1.02884339566002e-06,4.74767465581764,0.0282653635885009,"SZRD1",9.76546907517635e-06
"SPATA21","OK",0.522333806346583,-0.0560118245689613,-0.000523521161568008,"SPATA21",0.764040682511283
"NECAP2","OK",9.40344760847434e-05,3.73452614740841,0.022182406947474,"NECAP2",0.00068061226629767
"LINC01772","OK",0.0320754311238512,1.85112993659051,0.0107016551672358,"LINC01772",0.119930636512848
"AL137802.2","OK",0.686698182140588,-0.486512795146602,-0.00303250492420502,"AL137802.2",0.786060347990325
"NBPF1","OK",0.831189835976667,-0.958877763608093,-0.00592162341226931,"NBPF1",0.870763672949597
"AL137798.1","FAIL",NA,NA,NA,"AL137798.1",1
"AL021920.3","FAIL",NA,NA,NA,"AL021920.3",1
"CROCC","OK",0.502007338916609,-0.00503167371682631,-0.000279129364340277,"CROCC",0.764040682511283
"BX284668.5","OK",0.200356116459427,0.840349896138059,0.00477605135286481,"BX284668.5",0.46569338151056
"BX284668.6","OK",0.166957479230721,0.966258276419434,0.0054937212769635,"BX284668.6",0.412254365087058
"MFAP2","OK",0.58498691645265,-0.214668007869379,-0.00140031456403757,"MFAP2",0.764040682511283
"ATP13A2","OK",0.117434651658873,1.18790889899559,0.00687241457878822,"ATP13A2",0.322007658487988
"SDHB","OK",0.00162462013918928,2.94311849197421,0.0174266495196581,"SDHB",0.00914163012920043
"PADI2","OK",0.567092862368799,-0.168977581397967,-0.00112732317537119,"PADI2",0.764040682511283
"AL590644.3","OK",NA,NA,-0.000339685027862053,"AL590644.3",NA
"PADI1","FAIL",NA,NA,NA,"PADI1",1
"PADI3","FAIL",NA,NA,NA,"PADI3",1
"PADI4","OK",2.16684073543064e-07,5.05368411555588,0.0296290397516835,"PADI4",2.20584938225805e-06
"PADI6","FAIL",NA,NA,NA,"PADI6",1
"RCC2","OK",0.285438761977601,0.566759597176289,0.00315432282244684,"RCC2",0.589555563749038
"ARHGEF10L","OK",0.661012265154961,-0.415227362684112,-0.00260145059638659,"ARHGEF10L",0.775286905885711
"ACTL8","FAIL",NA,NA,NA,"ACTL8",1
"IGSF21","OK",NA,NA,-0.00021283289388615,"IGSF21",NA
"KLHDC7A","FAIL",NA,NA,NA,"KLHDC7A",1
"ALDH4A1","OK",0.670787848805815,-0.442089693232808,-0.002774698648044,"ALDH4A1",0.779452363087385
"IFFO2","OK",0.848738778505498,-1.03103918843244,-0.00642506505991844,"IFFO2",0.882602292054291
"UBR4","OK",0.0650792163333144,1.5134774193141,0.00883887069996136,"UBR4",0.207876786223958
"EMC1","OK",0.0581001541688663,1.57092397755143,0.00916380270852515,"EMC1",0.190613430778678
"MRTO4","OK",0.00721688294355777,2.44628299150647,0.0144308885359368,"MRTO4",0.033968169925222
"AKR7A3","OK",0.518747205403634,-0.0470095838179204,-0.000448619563585015,"AKR7A3",0.764040682511283
"AKR7A2","OK",0.00521438898240809,2.56127829620031,0.0151295342609446,"AKR7A2",0.0254641034133283
"PQLC2","OK",0.190599200238133,0.875690335930362,0.00498030250051333,"PQLC2",0.450692223615102
"CAPZB","OK",0.00135248909473812,2.99941586593551,0.0177688256557848,"CAPZB",0.00775488462310787
"MINOS1","OK",0.00151140855599048,2.96540803149461,0.0175647912141723,"MINOS1",0.00855876543578051
"NBL1","OK",5.98368854098901e-29,11.1042078498548,0.0663716394259104,"NBL1",1.54946549711079e-27
"TMCO4","OK",0.0607271836192582,1.54869786552672,0.00903420390396525,"TMCO4",0.197035365241809
"OTUD3","OK",0.471192070150775,0.0722736422048031,0.000182817086615311,"OTUD3",0.764040682511283
"PLA2G2A","OK",0.0348778272735356,1.8134940560847,0.00972017592002888,"PLA2G2A",0.128371926327323
"PLA2G5","OK",NA,NA,-0.000387908717580912,"PLA2G5",NA
"PLA2G2D","OK",NA,NA,-0.000296360684658153,"PLA2G2D",NA
"PLA2G2F","FAIL",NA,NA,NA,"PLA2G2F",1
"Z98257.1","FAIL",NA,NA,NA,"Z98257.1",1
"PLA2G2C","OK",0.620916994924235,-0.307890033004215,-0.00197024629585821,"PLA2G2C",0.765850397662085
"UBXN10","OK",0.672946623686021,-0.44806435435451,-0.00282089878268473,"UBXN10",0.780746907593708
"VWA5B1","FAIL",NA,NA,NA,"VWA5B1",1
"CAMK2N1","OK",0.344027972438684,0.4014946926556,0.00214800821210459,"CAMK2N1",0.664772605317103
"MUL1","OK",0.249197078928988,0.677018592638953,0.00381090271553972,"MUL1",0.537305177694995
"FAM43B","OK",NA,NA,-0.000179643147126144,"FAM43B",NA
"CDA","OK",0.548643098769256,-0.122233870913356,-0.000846885003139548,"CDA",0.764040682511283
"PINK1","OK",0.198614859197384,0.846579187830191,0.00482217941329395,"PINK1",0.462823947932116
"DDOST","OK",0.00157229293444486,2.95323881434576,0.0174911826470223,"DDOST",0.00887840643257626
"KIF17","OK",NA,NA,-0.000119265309763727,"KIF17",NA
"SH2D5","FAIL",NA,NA,NA,"SH2D5",1
"HP1BP3","OK",0.223703063221557,0.759746502237731,0.00431493182966845,"HP1BP3",0.50081796770044
"EIF4G3","OK",0.00751752529651563,2.43153367571466,0.0143513823247394,"EIF4G3",0.0351865917871131
"ECE1","OK",2.0593187847849e-32,11.7954762973882,0.0705637311840195,"ECE1",5.82248736977259e-31
"NBPF3","OK",0.514804469568593,-0.0371178233242897,-0.00046799632243156,"NBPF3",0.764040682511283
"ALPL","OK",0.616197316804402,-0.295508622637265,-0.00189935661636556,"ALPL",0.76572493095363
"RAP1GAP","OK",0.538022532146667,-0.0954531065078788,-0.000708242845004672,"RAP1GAP",0.764040682511283
"USP48","OK",0.268138453882231,0.618452791407132,0.00346495884836769,"USP48",0.565202802618196
"LDLRAD2","FAIL",NA,NA,NA,"LDLRAD2",1
"HSPG2","OK",0.506501709713968,-0.0162980909113102,-0.000344805735720649,"HSPG2",0.764040682511283
"LINC01635","OK",0.598183386943065,-0.248647805463909,-0.00164031931016116,"LINC01635",0.764040682511283
"CDC42","OK",3.57547869976573e-10,6.16271182923194,0.0367655130627639,"CDC42",4.63306766253854e-09
